,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
302,Sami Khedira\38ac43d3,MF,de Germany,27,1987,5,4,374,4.2,1,1,1,0,0,1,0,0.24,0.24,0.48,0.24,0.48,Matches
303,Hiroshi Kiyotake\0dba1f3e,FWMF,jp Japan,24,1989,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
304,Miroslav Klose\5e36a0dd,FW,de Germany,36,1978,5,3,279,3.1,2,0,2,0,0,0,0,0.65,0.00,0.65,0.65,0.65,Matches
305,Koke\55126f3b,MF,es Spain,22,1992,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
306,Aleksandr Kokorin\fec5accc,FWMF,ru Russia,23,1991,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
307,Sead Kolašinac\3935e52e,DFMF,ba Bosnia and Herzegovina,20,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
308,Dmitri Kombarov\6d3f2898,DFMF,ru Russia,27,1987,3,3,270,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches
309,Vincent Kompany\d2bff301,DF,be Belgium,28,1986,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
310,Panagiotis Kone\27d34558,MF,gr Greece,26,1987,3,3,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
311,Terence Kongolo\1f9a3a04,DF,nl Netherlands,20,1994,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
312,Yasuyuki Konno\b2f008c5,DFMF,jp Japan,31,1983,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
313,Han Kook-young\ab1ada74,MF,kr Korea Republic,24,1990,3,3,212,2.4,0,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matches
314,Laurent Koscielny\f5efb153,DF,fr France,28,1985,4,2,224,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
315,Mateo Kovačić\79c0821a,MF,hr Croatia,20,1994,3,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
316,Christoph Kramer\496aeede,MF,de Germany,23,1991,3,1,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
317,Toni Kroos\6ce1f46f,MF,de Germany,24,1990,7,7,689,7.7,2,3,2,0,0,0,0,0.26,0.39,0.65,0.26,0.65,Matches
318,Tim Krul\f23f9d20,GK,nl Netherlands,26,1988,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
319,Dirk Kuyt\cd53ecf4,DFFW,nl Netherlands,33,1980,5,5,508,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
320,Mehdi Lacen\a3a306f6,MF,dz Algeria,30,1984,3,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
321,Philipp Lahm\de491a33,DFMF,de Germany,30,1983,7,7,690,7.7,0,2,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
322,Adam Lallana\99813635,FWMF,eng England,26,1988,3,1,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
323,Rickie Lambert\495de82c,FW,eng England,32,1982,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
324,Frank Lampard\268df6b1,MF,eng England,35,1978,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
325,Michael Lang\864db10a,DFMF,ch Switzerland,23,1991,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
326,Adam Larsen Kwarasey\7c6eed78,GK,gh Ghana,26,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
327,Ezequiel Lavezzi\6d6456d7,FWMF,ar Argentina,29,1985,6,4,354,3.9,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
328,Miguel Layún\ad6295d4,DFMF,mx Mexico,25,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
329,Mathew Leckie\b93b7882,FWMF,au Australia,23,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
330,Jeremain Lens\6f1721f0,FWMF,nl Netherlands,26,1987,4,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
331,Stephan Lichtsteiner\99b1d0e6,DFMF,ch Switzerland,30,1984,4,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
332,Hugo Lloris\8f62b6ee,GK,fr France,27,1986,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
333,Nicolás Lodeiro\fe81d0d1,MF,uy Uruguay,25,1989,3,2,142,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
334,Nicolas Lombaerts\65fd5556,DF,be Belgium,29,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
335,Dejan Lovren\1a2935f6,DF,hr Croatia,24,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
336,Diego Lugano\303ad7c3,DF,uy Uruguay,33,1980,1,1,90,1.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
337,David Luiz\c0e27d1a,DFMF,br Brazil,27,1987,7,7,660,7.3,2,1,2,0,0,0,0,0.27,0.14,0.41,0.27,0.41,Matches
338,Romelu Lukaku\5eae500a,FW,be Belgium,21,1993,4,2,175,1.9,1,0,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches
339,Senad Lulić\7fd58fe3,DFMF,ba Bosnia and Herzegovina,28,1986,2,2,147,1.6,0,1,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,Matches
340,Raïs M'Bolhi\c121a641,GK,dz Algeria,28,1986,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
341,Riyad Mahrez\892d5bb1,FWMF,dz Algeria,23,1991,1,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
342,Abdul Majeed Waris\46907171,FWMF,gh Ghana,22,1991,1,1,70,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
343,Jean Makoun\728c9139,MF,cm Cameroon,31,1983,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
344,Aïssa Mandi\fbd6378b,DF,dz Algeria,22,1991,3,3,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
345,Mario Mandžukić\afa0d4e0,FWMF,hr Croatia,28,1986,2,2,180,2.0,2,0,2,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
346,Giannis Maniatis\17ba757b,DFMF,gr Greece,27,1986,4,4,347,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
347,Kostas Manolas\c707411f,DF,gr Greece,23,1991,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
348,Marcelo\603116a7,DFMF,br Brazil,26,1988,6,6,570,6.3,0,2,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches
349,Claudio Marchisio\e304acd5,MF,it Italy,28,1986,3,3,216,2.4,1,0,1,0,0,0,1,0.42,0.00,0.42,0.42,0.42,Matches
350,José María Basanta\d6696790,DF,ar Argentina,30,1984,2,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
351,José María Giménez\f0da930c,DF,uy Uruguay,19,1995,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
352,Rafael Márquez\ce067ffe,DFMF,mx Mexico,35,1979,4,4,360,4.0,1,1,1,0,0,2,0,0.25,0.25,0.50,0.25,0.50,Matches
353,Jackson Martínez\89fbacc3,FW,co Colombia,27,1986,3,2,195,2.2,2,0,2,0,0,0,0,0.92,0.00,0.92,0.92,0.92,Matches
354,Javi Martínez\7f97771d,DFMF,es Spain,25,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
355,Mario Martínez\8fadbe79,MF,hn Honduras,24,1989,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
356,Bruno Martins Indi\7bc34048,DF,nl Netherlands,22,1992,6,5,456,5.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
357,Javier Mascherano\5070881b,DFMF,ar Argentina,30,1984,7,7,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
358,Juan Mata\29733c72,FWMF,es Spain,26,1988,1,0,35,0.4,1,0,1,0,0,0,0,2.57,0.00,2.57,2.57,2.57,Matches
359,Joël Matip\b217ef29,DFMF,cm Cameroon,22,1991,2,2,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
360,Blaise Matuidi\c0cddebe,MF,fr France,27,1987,5,5,426,4.7,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
361,Rio Mavuba\48c16bf5,MF,fr France,30,1984,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
362,Eric Maxim Choupo-Moting\0e6bc38c,FWMF,cm Cameroon,25,1989,3,3,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
363,Maxwell\6f08cece,DF,br Brazil,32,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
364,Stéphane Mbia\c39d9657,DFMF,cm Cameroon,28,1986,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
365,Ryan McGowan\8935480f,DFMF,au Australia,24,1989,3,2,222,2.5,0,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches
366,Matt McKay\044587de,DFMF,au Australia,31,1983,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
367,Gary Medel\563a68ad,DFMF,cl Chile,26,1987,4,4,377,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
368,Carl Medjani\70c2f41a,DFMF,dz Algeria,29,1985,3,3,263,2.9,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches
369,Haris Medunjanin\de5d5d41,MF,ba Bosnia and Herzegovina,29,1985,2,1,80,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
370,Admir Mehmedi\b500b384,FWMF,ch Switzerland,23,1991,4,3,337,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches
371,Raul Meireles\e767cd27,MF,pt Portugal,31,1983,2,2,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
372,Alexander Mejía\ab365692,MF,co Colombia,25,1988,4,1,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
373,Eugenio Mena\45ef7845,DFMF,cl Chile,25,1988,4,4,390,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
374,Édison Méndez\28d57df1,MF,ec Ecuador,35,1979,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
375,Jonathan Mensah\8087e6cb,DF,gh Ghana,23,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
376,Dries Mertens\89b2c8a9,FWMF,be Belgium,27,1987,5,3,269,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
377,Per Mertesacker\5be28712,DF,de Germany,29,1984,6,4,436,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
378,Djamel Mesbah\72158162,DFMF,dz Algeria,29,1984,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
379,Lionel Messi\d70ce98e,FWMF,ar Argentina,26,1987,7,7,692,7.7,4,1,4,0,0,0,0,0.52,0.13,0.65,0.52,0.65,Matches
380,José Miguel Cubero\ebe91c17,MF,cr Costa Rica,27,1987,4,0,119,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
381,Roy Miller\5fa7d43f,DF,cr Costa Rica,29,1984,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
382,Mark Milligan\34972862,DFMF,au Australia,28,1985,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
383,James Milner\2f90f6b8,DFMF,eng England,28,1986,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
384,Oswaldo Minda\1f84526e,MF,ec Ecuador,30,1983,2,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
385,Kevin Mirallas\aa51343f,FWMF,be Belgium,26,1987,4,2,222,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
386,Zvjezdan Misimović\0b51984b,MF,ba Bosnia and Herzegovina,32,1982,2,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
387,Kostas Mitroglou\c6ac6579,FW,gr Greece,26,1988,3,1,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
388,Luka Modrić\6025fab1,MF,hr Croatia,28,1985,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
389,Faryd Mondragón\cbd99275,GK,co Colombia,42,1971,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
390,Pejman Montazeri\0f5702ad,DFMF,ir Iran,30,1983,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
391,Jefferson Montero\fa6561bf,FWMF,ec Ecuador,24,1989,3,3,226,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
392,Héctor Moreno\5d311e8d,DF,mx Mexico,26,1988,4,4,315,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
393,Masato Morishige\5f58895f,DFMF,jp Japan,27,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
394,Victor Moses\e726e11e,DFFW,ng Nigeria,23,1990,2,2,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
395,Mehdi Mostefa\b2a138bc,DFMF,dz Algeria,30,1983,2,2,210,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
396,Thiago Motta\57ef0d97,MF,it Italy,31,1982,3,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
397,Benjamin Moukandjo\e0312377,FWMF,cm Cameroon,25,1988,3,3,237,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
398,João Moutinho\f5a00fa4,MF,pt Portugal,27,1986,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
399,Mensur Mujdža\1ebfbf66,DFMF,ba Bosnia and Herzegovina,30,1984,2,2,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
400,Thomas Müller\3c6089ab,FWMF,de Germany,24,1989,7,7,681,7.6,5,3,4,1,1,0,0,0.66,0.40,1.06,0.53,0.93,Matches
401,Sulley Muntari\e185aa52,MF,gh Ghana,29,1984,2,2,180,2.0,0,1,0,0,0,2,0,0.00,0.50,0.50,0.00,0.50,Matches
402,Ahmed Musa\b7084daf,FWMF,ng Nigeria,21,1992,4,4,334,3.7,2,0,2,0,0,0,0,0.54,0.00,0.54,0.54,0.54,Matches
403,Fernando Muslera\a2abe631,GK,uy Uruguay,27,1986,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
404,Shkodran Mustafi\3f2d59fe,DF,de Germany,22,1992,3,1,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
405,David Myrie\798c050d,DF,cr Costa Rica,26,1988,1,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
406,Landry N'Guémo\84d036fd,DFMF,cm Cameroon,28,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
407,Yuto Nagatomo\4b6960d2,DF,jp Japan,27,1986,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
408,Andy Najar\f8280175,DFMF,hn Honduras,21,1993,2,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
409,Nani\15e9c7e6,FWMF,pt Portugal,27,1986,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
410,Keylor Navas\ecada4fc,GK,cr Costa Rica,27,1986,5,5,510,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
411,Javad Nekounam\baccd726,MF,ir Iran,33,1980,3,3,270,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches
412,Manuel Neuer\8778c910,GK,de Germany,28,1986,7,7,690,7.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
413,Neymar\69384e5d,FWMF,br Brazil,22,1992,5,5,454,5.0,4,1,3,1,1,1,0,0.79,0.20,0.99,0.59,0.79,Matches
414,Nicolas Nkoulou\93cf32a8,DF,cm Cameroon,24,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
415,Christian Noboa\9d1e8e76,MF,ec Ecuador,29,1985,3,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
416,Dany Nounkeu\819a94a2,DF,cm Cameroon,28,1986,2,0,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
417,Uche Nwofor\920ffd96,FW,ng Nigeria,22,1991,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
418,Allan Nyom\97572117,DFMF,cm Cameroon,26,1988,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches
419,Tommy Oar\334e61b3,FWMF,au Australia,22,1991,3,3,203,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
420,John Obi Mikel\424d5f72,MF,ng Nigeria,27,1987,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
421,Godfrey Oboabona\35cc25b4,DF,ng Nigeria,23,1990,1,1,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
422,Guillermo Ochoa\1e9bde92,GK,mx Mexico,28,1985,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
423,Peter Odemwingie\b16150ac,FW,ng Nigeria,32,1981,4,3,281,3.1,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches
424,Shinji Okazaki\68796d61,FWMF,jp Japan,28,1986,3,3,248,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches
425,Yoshito Ōkubo\930074bb,FWMF,jp Japan,32,1982,3,2,204,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
426,Ivica Olić\1bb54bef,FW,hr Croatia,34,1979,3,3,226,2.5,1,0,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches
427,Kenneth Omeruo\0f0aa5b4,DF,ng Nigeria,20,1993,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
428,Ogenyi Onazi\17310a6c,MF,ng Nigeria,21,1992,4,4,328,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
429,Daniel Opare\49d53c68,DF,gh Ghana,23,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
430,Divock Origi\43a166b4,FWMF,be Belgium,19,1995,5,2,246,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches
431,Yuya Osako\f69fba57,FWMF,jp Japan,24,1990,2,2,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
432,Oscar\57fe98dd,MF,br Brazil,22,1991,7,7,638,7.1,2,2,2,0,0,1,0,0.28,0.28,0.56,0.28,0.56,Matches
433,Juwon Oshaniwa\2c11a096,DF,ng Nigeria,23,1990,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
434,David Ospina\82b1198a,GK,co Colombia,25,1988,5,5,444,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
435,Mesut Özil\16380240,MF,de Germany,25,1988,7,7,651,7.2,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
436,Rodrigo Palacio\8d8178ac,FW,ar Argentina,32,1982,5,0,164,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
437,Jerry Palacios\24cc7b5f,FW,hn Honduras,32,1982,1,0,51,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
438,Wilson Palacios\58df81fc,MF,hn Honduras,29,1984,2,2,132,1.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
439,Gabriel Paletta\cc3477f4,DF,it Italy,28,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
440,Sokratis Papastathopoulos\b682dcf6,DF,gr Greece,26,1988,4,4,390,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches
441,Marco Parolo\ed5886d2,MF,it Italy,29,1985,2,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
442,Rui Patrício\79b0d6a0,GK,pt Portugal,26,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
443,Paulinho\bb7337cc,MF,br Brazil,25,1988,6,5,383,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
444,Pedro\3ca7254a,FWMF,es Spain,26,1987,2,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
445,Carlos Peña\f7381739,MF,mx Mexico,24,1990,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
446,Pepe\c906ce0f,DFMF,pt Portugal,31,1983,2,2,126,1.4,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
447,Oribe Peralta\5e6758f3,FW,mx Mexico,30,1984,4,4,298,3.3,1,1,1,0,0,0,0,0.30,0.30,0.60,0.30,0.60,Matches
448,Álvaro Pereira\1b0aaf11,DFMF,uy Uruguay,28,1985,3,3,204,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
449,João Pereira\aefd0c5b,DFMF,pt Portugal,30,1984,3,3,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
450,Maxi Pereira\6e592fa4,DF,uy Uruguay,30,1984,3,2,224,2.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
451,Enzo Pérez\6d27cfc2,MF,ar Argentina,28,1986,3,2,218,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
452,Ivan Perišić\6fe90922,DFFW,hr Croatia,25,1989,3,3,257,2.9,2,1,2,0,0,0,0,0.70,0.35,1.05,0.70,1.05,Matches
453,Robin van Persie\3fcab3a8,FW,nl Netherlands,30,1983,6,6,544,6.0,4,0,3,1,1,2,0,0.66,0.00,0.66,0.50,0.50,Matches
454,Mauricio Pinilla\33bd231e,FW,cl Chile,30,1984,3,0,47,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
