,,goals,goals,goals,goals,goals,assists,assists,assists,assists,assists,gca,gca,gca,gca,gca,passes,passes,passes,passes,passes,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,tackles,tackles,tackles,tackles,tackles
Brighton & Hove Albion,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.0,1780.0,1780.0,1780.0,1780.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
Brighton & Hove Albion,MF,0.0,1.25,2.0,2.75,8.0,0.0,1.25,2.5,3.0,17.0,1.0,2.5,6.0,9.0,24.0,685.0,783.25,1658.5,2978.0,4221.0,38.2,62.85,100.1,140.85000000000002,215.7,23.0,38.5,74.5,114.0,271.0
Burnley,DF,0.0,0.0,1.0,3.5,7.0,1.0,2.0,4.0,4.5,6.0,1.0,4.0,6.0,9.5,12.0,619.0,2050.5,3793.0,4010.0,4699.0,164.3,201.85,239.5,256.05,287.8,43.0,123.0,160.0,191.5,249.0
Burnley,FW,7.0,8.5,15.0,25.5,39.0,2.0,3.5,4.5,5.25,6.0,8.0,9.5,11.0,13.75,19.0,527.0,770.0,1024.0,1404.75,2028.0,112.4,117.35,129.55,149.42499999999998,177.4,22.0,37.75,51.5,61.75,67.0
Burnley,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,1096.25,1594.5,2092.75,2591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burnley,MF,0.0,1.0,1.5,6.25,7.0,1.0,1.75,3.0,10.25,19.0,2.0,4.25,5.5,18.75,35.0,472.0,1397.0,2465.5,3269.5,6129.0,36.4,150.225,170.05,185.6,196.9,47.0,62.5,102.5,160.25,170.0
CA Osasuna,DF,0.0,0.25,1.0,2.75,4.0,0.0,0.0,0.0,0.75,7.0,0.0,1.0,2.0,4.5,13.0,923.0,1116.5,1574.0,2759.25,4550.0,96.3,141.125,192.65,221.3,260.9,15.0,47.75,78.0,94.5,164.0
CA Osasuna,FW,3.0,7.0,13.0,22.0,25.0,1.0,2.75,3.0,4.75,8.0,5.0,6.5,9.5,17.25,19.0,391.0,895.75,1082.0,1624.75,2832.0,62.3,114.85,142.25,156.47500000000002,185.8,13.0,36.25,51.0,55.0,126.0
CA Osasuna,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2293.0,2293.0,2293.0,2293.0,2293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA Osasuna,MF,1.0,2.0,3.5,4.0,16.0,1.0,1.25,2.5,3.75,14.0,3.0,5.25,6.0,8.5,22.0,769.0,1414.5,2092.5,2206.5,2397.0,50.1,89.225,145.6,189.52500000000003,398.7,21.0,42.5,66.5,105.75,125.0
Caen,DF,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.75,2.0,596.0,674.5,753.0,831.5,910.0,58.6,60.625,62.650000000000006,64.67500000000001,66.7,15.0,20.5,26.0,31.5,37.0
Caen,FW,0.0,1.5,3.0,4.5,6.0,0.0,0.5,1.0,1.5,2.0,2.0,3.0,4.0,4.5,5.0,389.0,425.0,461.0,509.0,557.0,41.3,41.849999999999994,42.4,50.349999999999994,58.3,15.0,15.5,16.0,16.0,16.0
Caen,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,1222.0,1222.0,1222.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caen,MF,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,3.0,468.0,531.0,594.0,795.5,997.0,48.6,50.400000000000006,52.2,59.45,66.7,27.0,32.0,37.0,43.0,49.0
Cagliari,DF,0.0,0.0,0.0,2.5,5.0,0.0,1.0,2.0,3.0,7.0,0.0,3.0,5.0,6.25,12.0,1053.0,1631.5,2090.5,2659.5,4078.0,42.3,144.075,174.15,218.47500000000002,261.0,31.0,54.5,77.0,106.0,187.0
Cagliari,FW,2.0,7.0,20.5,32.5,51.0,0.0,1.0,4.5,8.75,13.0,1.0,4.25,13.5,17.5,34.0,268.0,733.5,1314.0,1509.75,3166.0,55.2,111.10000000000001,176.3,223.875,243.1,14.0,25.25,39.5,65.0,98.0
Cagliari,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3217.0,3217.0,3217.0,3217.0,3217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cagliari,MF,1.0,2.0,3.0,3.0,13.0,1.0,2.0,3.0,7.0,12.0,3.0,4.0,8.0,15.0,24.0,995.0,1138.0,1636.0,2430.0,3560.0,82.4,114.0,187.5,210.8,278.1,30.0,43.0,72.0,153.0,169.0
Cardiff City,DF,0.0,0.5,1.0,2.5,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,552.0,713.5,875.0,902.5,930.0,65.9,67.35,68.8,69.25,69.7,44.0,49.5,55.0,65.5,76.0
Cardiff City,FW,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,573.0,573.0,573.0,573.0,573.0,48.4,48.4,48.4,48.4,48.4,33.0,33.0,33.0,33.0,33.0
Cardiff City,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,1203.0,1203.0,1203.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff City,MF,0.0,0.25,2.0,3.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.5,4.75,6.0,283.0,419.25,605.5,813.5,921.0,25.4,27.599999999999998,33.599999999999994,46.574999999999996,58.8,25.0,37.5,47.5,57.5,65.0
Chelsea,DF,0.0,4.0,4.0,6.0,9.0,0.0,1.0,2.0,9.0,15.0,1.0,2.0,9.0,23.0,28.0,1749.0,3528.0,4528.0,6341.0,8498.0,104.8,185.0,233.9,247.8,274.2,69.0,80.0,127.0,136.0,286.0
Chelsea,FW,3.0,11.5,20.0,43.0,62.0,5.0,9.5,13.0,13.5,24.0,11.0,24.0,37.0,42.0,56.0,999.0,1837.5,2291.0,3326.5,4308.0,45.3,83.45,110.3,145.9,202.5,18.0,42.5,61.0,78.0,140.0
Chelsea,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.0,2748.25,2980.5,3212.75,3445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,MF,2.0,7.0,7.0,9.0,17.0,4.0,5.0,6.0,10.0,11.0,10.0,10.0,19.0,20.0,22.0,1928.0,2484.0,5072.0,5620.0,7924.0,145.9,156.8,179.3,209.7,303.1,36.0,66.0,212.0,241.0,242.0
Chievo,DF,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,385.0,385.0,385.0,385.0,67.6,67.6,67.6,67.6,67.6,25.0,25.0,25.0,25.0,25.0
Chievo,FW,3.0,3.25,3.5,3.75,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.0,2.5,3.0,196.0,253.75,311.5,369.25,427.0,36.7,41.7,46.7,51.7,56.7,4.0,9.0,14.0,19.0,24.0
Chievo,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,895.0,895.0,895.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chievo,MF,0.0,0.75,1.5,2.25,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,904.0,950.5,997.0,1043.5,1090.0,23.5,31.975,40.45,48.925,57.4,13.0,21.75,30.5,39.25,48.0
Clermont Foot 63,DF,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,1.25,2.0,0.0,0.75,2.0,3.25,4.0,598.0,819.25,913.0,954.0,1017.0,40.0,46.525000000000006,51.95,61.050000000000004,78.6,22.0,22.0,33.0,44.75,47.0
Clermont Foot 63,FW,1.0,3.0,5.0,7.0,9.0,1.0,1.25,1.5,1.75,2.0,3.0,3.5,4.0,4.5,5.0,315.0,316.25,317.5,318.75,320.0,18.2,22.599999999999998,27.0,31.4,35.8,6.0,10.0,14.0,18.0,22.0
Clermont Foot 63,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clermont Foot 63,MF,0.0,0.0,0.5,2.0,5.0,0.0,0.75,1.5,2.25,3.0,0.0,3.0,4.5,5.25,6.0,885.0,934.5,1014.0,1116.25,1234.0,37.5,44.025000000000006,46.45,64.2,116.7,19.0,26.5,34.0,40.0,43.0
Crotone,DF,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,5.0,7.0,1019.0,1281.0,1411.0,1523.0,1605.0,56.6,61.1,76.4,113.9,120.1,28.0,34.0,35.0,82.0,92.0
Crotone,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,1446.0,1446.0,1446.0,1446.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Crotone,MF,0.0,0.0,0.5,1.0,1.0,1.0,1.0,2.5,4.75,6.0,1.0,3.0,5.0,7.75,17.0,569.0,760.25,934.5,1600.75,3342.0,52.3,55.175,58.849999999999994,63.87500000000001,151.9,23.0,29.0,37.5,52.0,118.0
Crystal Palace,DF,0.0,1.0,1.0,2.0,6.0,0.0,1.25,2.0,2.0,5.0,0.0,2.25,3.0,4.0,15.0,1010.0,1312.75,1751.0,3217.0,6073.0,54.4,122.82500000000002,156.2,245.9,365.0,20.0,34.75,77.0,120.75,153.0
Crystal Palace,FW,9.0,12.0,17.0,25.0,30.0,2.0,4.0,4.0,9.0,11.0,8.0,14.0,16.0,23.0,43.0,546.0,992.0,1388.0,2157.0,3544.0,97.7,106.1,118.2,227.3,272.1,8.0,27.0,34.0,144.0,177.0
Crystal Palace,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,614.0,1267.0,1920.0,2573.0,3226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal Palace,MF,0.0,2.0,3.0,8.0,16.0,0.0,4.0,5.0,6.0,12.0,0.0,8.0,11.0,12.0,21.0,1072.0,1187.0,1555.0,3339.0,5235.0,27.3,92.2,123.3,215.4,236.3,38.0,96.0,123.0,228.0,286.0
Cádiz CF,DF,0.0,0.75,1.0,2.0,3.0,0.0,0.0,0.5,1.25,3.0,0.0,1.0,2.5,3.5,6.0,351.0,796.25,1025.5,1225.75,1823.0,62.8,95.12499999999999,115.85,132.57500000000002,185.2,26.0,35.75,53.5,86.25,146.0
Cádiz CF,FW,5.0,6.5,8.0,9.0,10.0,2.0,2.0,2.0,3.0,4.0,8.0,8.5,9.0,11.5,14.0,649.0,701.5,754.0,818.0,882.0,89.0,108.75,128.5,205.4,282.3,12.0,19.0,26.0,52.0,78.0
Cádiz CF,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.0,1520.0,1520.0,1520.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cádiz CF,MF,0.0,0.5,1.0,2.5,7.0,0.0,0.5,1.0,1.5,4.0,0.0,2.0,4.0,5.0,10.0,415.0,467.5,819.0,899.5,1445.0,30.4,44.7,51.7,81.05000000000001,127.9,22.0,27.5,35.0,47.0,90.0
DSC Arminia Bielefeld,DF,0.0,0.0,1.0,1.5,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.5,1.0,2.0,5.0,643.0,958.5,1582.0,2105.0,2115.0,37.5,92.55,119.9,142.95,199.9,10.0,27.0,60.0,90.5,98.0
DSC Arminia Bielefeld,FW,2.0,3.5,5.0,6.5,8.0,3.0,3.0,3.0,3.0,3.0,5.0,5.5,6.0,6.5,7.0,278.0,497.5,717.0,936.5,1156.0,38.5,54.5,70.5,86.5,102.5,25.0,26.5,28.0,29.5,31.0
DSC Arminia Bielefeld,GK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2771.0,2771.0,2771.0,2771.0,2771.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DSC Arminia Bielefeld,MF,0.0,0.5,1.0,3.0,6.0,0.0,0.5,1.0,1.5,2.0,0.0,2.5,5.0,7.5,9.0,398.0,802.5,861.0,1280.5,2064.0,34.8,50.150000000000006,77.7,118.0,139.8,35.0,48.0,64.0,99.5,113.0
Deportivo Alavés,DF,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,4.0,9.0,14.0,468.0,1133.0,2585.0,3219.0,4513.0,131.0,188.8,234.0,250.7,282.1,19.0,40.0,102.0,156.0,238.0
Deportivo Alavés,FW,1.0,4.0,5.5,12.5,32.0,1.0,2.5,3.5,4.5,6.0,2.0,5.0,9.5,15.5,23.0,378.0,714.0,1162.5,1809.75,2742.0,113.8,116.2,126.9,166.07500000000002,253.9,8.0,43.25,64.0,73.5,75.0
Deportivo Alavés,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3388.0,3388.0,3388.0,3388.0,3388.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Deportivo Alavés,MF,0.0,0.25,1.0,1.75,4.0,0.0,0.25,1.0,3.0,8.0,0.0,0.5,2.5,5.75,11.0,244.0,437.75,921.5,1951.25,3349.0,52.1,73.27499999999999,90.75,211.72500000000002,249.4,14.0,28.75,53.5,139.5,208.0
Dijon,DF,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,2.0,2.0,4.0,9.0,842.0,1164.0,1564.0,2004.0,4317.0,43.8,54.5,112.1,154.5,208.2,34.0,55.0,58.0,77.0,156.0
Dijon,FW,1.0,1.5,3.5,8.5,14.0,1.0,2.0,2.5,3.75,6.0,3.0,4.75,7.0,7.0,13.0,310.0,855.5,1085.0,1256.0,2021.0,31.7,56.9,100.65,107.5,127.2,12.0,23.5,33.0,55.25,104.0
Dijon,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,435.5,466.0,561.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dijon,MF,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,11.0,505.0,959.0,1092.0,1753.0,3385.0,12.9,31.1,65.5,114.5,152.1,24.0,27.0,38.0,94.0,177.0
Düsseldorf,DF,1.0,1.0,1.5,2.0,2.0,1.0,1.75,2.0,2.75,5.0,1.0,4.0,5.0,7.0,13.0,891.0,1040.25,1463.0,2210.0,3332.0,0.0,71.025,98.85,103.075,103.3,31.0,37.0,49.5,85.0,160.0
Düsseldorf,FW,5.0,7.0,9.0,15.5,22.0,1.0,1.5,2.0,3.0,4.0,6.0,6.0,6.0,9.0,12.0,547.0,580.5,614.0,837.5,1061.0,73.9,75.45,77.0,99.05,121.1,21.0,21.5,22.0,24.5,27.0
Düsseldorf,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,630.0,724.5,819.0,913.5,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Düsseldorf,MF,0.0,0.0,1.0,2.25,3.0,1.0,1.0,1.0,1.5,3.0,3.0,3.0,4.5,6.25,7.0,570.0,636.75,953.5,1283.75,1391.0,63.5,93.125,111.1,119.375,119.9,38.0,58.25,67.5,73.25,83.0
ESTAC Troyes,DF,0.0,0.0,0.0,0.5,2.0,0.0,0.5,1.0,1.0,2.0,0.0,0.5,1.0,2.0,4.0,426.0,674.5,767.0,898.0,1977.0,30.0,56.9,105.6,130.75,157.1,9.0,23.5,29.0,35.0,112.0
ESTAC Troyes,FW,2.0,9.0,16.0,20.0,24.0,0.0,1.5,3.0,5.0,7.0,1.0,6.5,12.0,13.0,14.0,205.0,655.5,1106.0,2275.5,3445.0,34.1,64.3,94.5,134.15,173.8,4.0,48.0,92.0,133.0,174.0
ESTAC Troyes,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,656.0,656.0,656.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTAC Troyes,MF,1.0,1.5,2.0,2.5,3.0,1.0,2.75,4.5,6.25,8.0,2.0,4.5,7.0,9.5,12.0,861.0,961.0,1061.0,1161.0,1261.0,23.1,42.325,61.55,80.775,100.0,29.0,34.75,40.5,46.25,52.0
Eibar,DF,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,8.0,866.0,927.0,1123.0,2011.0,4139.0,41.0,80.8,120.4,142.3,191.3,24.0,34.0,39.0,84.0,131.0
Eibar,FW,2.0,6.5,11.0,15.5,20.0,1.0,1.0,1.0,4.5,8.0,2.0,4.0,6.0,13.0,20.0,398.0,652.5,907.0,1411.0,1915.0,85.9,86.85,87.8,107.25,126.7,24.0,25.5,27.0,50.0,73.0
Eibar,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,384.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eibar,MF,0.0,0.75,2.5,3.25,5.0,0.0,1.5,2.0,3.25,4.0,1.0,2.75,4.0,7.0,8.0,518.0,1361.5,1734.0,2109.0,2849.0,53.8,99.20000000000002,123.75,151.975,179.3,40.0,57.25,69.5,100.5,154.0
Eintracht Frankfurt,DF,0.0,2.0,3.0,7.0,17.0,0.0,1.0,4.0,5.0,41.0,1.0,4.0,8.0,10.0,65.0,900.0,1667.0,2317.0,4336.0,5661.0,107.0,171.7,231.0,276.5,357.9,29.0,75.0,106.0,154.0,249.0
Eintracht Frankfurt,FW,2.0,3.5,8.0,12.25,13.0,3.0,3.0,3.5,4.25,5.0,6.0,6.0,7.5,9.75,12.0,395.0,583.25,709.5,780.5,803.0,30.4,100.6,131.6,160.45,224.2,12.0,15.0,18.0,27.0,48.0
Eintracht Frankfurt,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4185.0,4185.0,4185.0,4185.0,4185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eintracht Frankfurt,MF,1.0,2.5,3.5,5.5,8.0,0.0,1.5,4.0,7.25,17.0,1.0,1.75,11.5,16.25,36.0,231.0,880.25,1113.0,2351.25,2936.0,19.4,49.8,78.30000000000001,116.975,180.1,12.0,27.25,74.0,121.75,162.0
Elche CF,DF,0.0,0.0,1.0,1.75,5.0,0.0,0.0,1.0,2.0,4.0,0.0,0.25,1.5,2.75,10.0,557.0,925.5,1096.5,1906.5,2712.0,54.7,83.35000000000001,103.1,153.3,289.8,19.0,39.0,52.5,55.5,65.0
Elche CF,FW,6.0,9.0,11.0,14.0,20.0,3.0,3.75,4.5,6.25,10.0,9.0,9.75,10.0,13.0,22.0,823.0,916.0,1153.5,1480.0,1840.0,46.3,69.39999999999999,93.6,139.75,228.7,33.0,37.5,44.5,54.25,67.0
Elche CF,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,683.0,865.0,1108.5,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elche CF,MF,0.0,1.0,3.0,4.0,8.0,0.0,1.0,2.0,4.0,7.0,0.0,2.0,4.0,7.0,12.0,502.0,847.0,947.0,1824.0,3220.0,52.4,85.9,109.0,128.6,208.8,23.0,33.0,46.0,66.0,147.0
Empoli,DF,0.0,0.0,1.0,1.25,2.0,0.0,0.0,1.0,1.25,2.0,0.0,1.5,3.0,4.0,7.0,874.0,1022.5,1264.5,1726.75,2879.0,13.3,59.10000000000001,85.0,151.29999999999998,238.9,26.0,26.75,36.0,66.0,98.0
Empoli,FW,7.0,9.0,11.0,14.0,17.0,2.0,2.5,3.0,4.0,5.0,8.0,9.0,10.0,16.5,23.0,800.0,891.0,982.0,1183.0,1384.0,70.2,106.80000000000001,143.4,148.10000000000002,152.8,29.0,31.5,34.0,37.5,41.0
Empoli,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,724.0,724.0,724.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Empoli,MF,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,6.0,7.0,477.0,540.0,691.0,735.0,1027.0,26.1,40.0,41.2,93.0,103.7,14.0,26.0,35.0,35.0,39.0
Everton,DF,0.0,1.5,2.0,4.5,7.0,1.0,2.5,4.0,5.5,18.0,3.0,5.0,5.0,11.0,28.0,2213.0,2867.0,3344.0,4694.0,6365.0,116.4,204.15,233.4,268.5,273.4,85.0,109.0,132.0,160.5,284.0
Everton,FW,0.0,6.75,13.0,30.5,38.0,0.0,3.0,5.0,7.75,9.0,0.0,5.75,14.0,20.75,30.0,195.0,505.0,1334.5,2226.25,2589.0,67.0,76.325,103.65,136.07500000000002,179.7,13.0,16.75,33.0,49.25,186.0
Everton,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,716.0,1130.5,1545.0,2916.5,4288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton,MF,0.0,1.75,4.0,11.25,21.0,1.0,1.75,5.0,9.75,15.0,2.0,4.0,17.0,22.5,26.0,384.0,1680.0,2350.5,3131.25,5474.0,16.8,76.15,103.65,197.775,236.6,32.0,63.0,98.5,155.25,301.0
FC Augsburg,DF,0.0,1.0,1.0,2.0,12.0,0.0,1.0,1.0,3.0,8.0,1.0,2.0,3.0,4.0,11.0,741.0,1234.0,1704.0,2612.0,4004.0,68.1,95.3,136.8,212.7,288.6,35.0,56.0,72.0,107.0,142.0
FC Augsburg,FW,7.0,10.5,13.0,14.75,25.0,2.0,4.25,5.5,7.5,11.0,6.0,10.25,11.5,14.25,25.0,531.0,859.0,1256.0,1507.5,1607.0,82.1,133.725,146.39999999999998,173.175,242.7,23.0,38.25,51.5,71.5,125.0
